Date,Amount,Category,Vendor,Paid by,Source,Notes
2026-04-01,52,Home Office,,Business,manual,Working from home — 2 owners × £6/week × 4 weeks
2026-04-01,12.06,Equipement,,Vicky,manual,canon printer
2026-03-20,2.75,Shipping,royal mail,Business,manual,
2026-03-19,18.99,Platforms,Gemini,Business,manual,
2026-03-18,12.75,Supplies,Amazon,Business,purchase,
2026-03-17,3.55,Shipping,royal mail,Business,manual,
2026-03-16,3.55,Shipping,royal mail,Business,manual,
2026-03-14,0.87,Shipping,Royal mail,Business,manual,
2026-03-13,7.49,Supplies,Amazon,Business,manual,shipping labels
2026-03-13,13,Platform,Canva,Business,manual,
2026-03-12,18,platform,Claude,Business,manual,Claude code
2026-03-12,4.5,platform,Claude API,Business,manual,API credits
2026-03-10,474.99,Equipment,Very,Business,manual,No pay for 12  months
2026-03-10,105.34,platform,Shopify,Business,manual,shopify and shipping
2026-03-09,2.42,Shipping,royal mail,Business,manual,shipping
2026-03-09,2.75,shipping,royal mail,Business,manual,
2026-03-08,150.8,shipping shopify,shopify,Business,manual,platform shipping
2026-03-08,38.12,Supplies,The Envelope People,Business,purchase,
2026-03-07,8.97,supplies,etsy,Business,manual,thank you stickers
2026-03-07,2.75,Shipping,royal mail,Business,manual,
2026-03-05,0.87,Shipping,royal mail,Business,manual,
2026-03-05,2.75,Shipping,royal mail,Business,manual,
2026-03-05,27.6,Supplies,The Envelope People,Business,purchase,
2026-03-04,150.23,Shipping,Shopify,Business,manual,Shipping through platforms
2026-03-04,3.55,Shipping,royal mail,Business,manual,
2026-03-04,29.94,Supplies,B&M,Business,purchase,
2026-03-03,2.75,Shipping,royal mail,Business,manual,
2026-03-03,10.6,Supplies,temu,Business,purchase,
2026-03-02,2.75,Shipping,royal mail,Business,manual,
2026-03-02,3.95,Supplies,home bargains,Business,purchase,
2026-03-02,9.72,Supplies,home bargains,Business,purchase,
2026-03-02,0.79,Supplies,home bargains,Business,purchase,
2026-03-02,5.99,Supplies,Amazon,Business,purchase,
2026-03-02,12.06,Equipement,,Vicky,manual,canon printer
2026-03-01,52,Home Office,,Business,manual,Working from home — 2 owners × £6/week × 4 weeks
2026-03-01,47.07,Supplies,The Envelope People,Business,purchase,
2026-03-01,4.49,Shipping,royal mail,Business,manual,
2026-02-27,149.28,shipping,Shopify,Business,manual,shopify shipping
2026-02-27,2.75,Shipping,Royal mail,Business,manual,
2026-02-27,2.75,Shipping,Royal mail,Business,manual,
2026-02-25,0.87,Shipping,Royal mail,Business,manual,
2026-02-24,1.55,Shipping,Royal Mail,Business,manual,
2026-02-24,0.87,Shipping,Royal Mail,Business,manual,
2026-02-24,2.75,Shipping,Royal Mail,Business,manual,
2026-02-23,0.87,Shipping,Royal mail,Business,manual,
2026-02-22,28.8,Platform,n8n,Carrie,manual,image creator
2026-02-20,4.99,Supplies,bnm,Business,manual,
2026-02-20,3.55,Shipping,Royal mail,Business,manual,
2026-02-20,2.75,Shipping,Royal mail,Business,manual,
2026-02-20,18.99,Platform,Google One Gemini,Business,manual,Gemini
2026-02-19,36.79,Supplies,Papercutz,Business,purchase,
2026-02-17,3.55,Shipping,Royal mail,Business,manual,
2026-02-16,478.63,Equipment,creality uk,Vicky,manual,3d printer
2026-02-15,0.87,Shipping,Royal Mail,Business,manual,
2026-02-13,9.98,Supplies,B&M,Business,purchase,
2026-02-13,11.88,Supplies,Amazon,Business,purchase,
2026-02-12,3.55,Shipping,Royal Mail,Business,manual,
2026-02-12,3.65,Shipping,Royal Mail,Business,manual,
2026-02-10,146.44,Platform + Shipping,Shopify,Business,manual,Shopify shipping
2026-02-10,5.6,Shipping,Royal Mail,Business,manual,
2026-02-09,6.3,Shipping,Royal Mail,Business,manual,
2026-02-09,7.98,Supplies,Amazon,Business,purchase,
2026-02-08,21.95,Supplies,amazon,Carrie,manual,125 a4 no bend
2026-02-08,110.5,Platform + Shipping,Shopify,Business,manual,Shopify platform and shipping
2026-02-08,11.8,Shipping,Royal Mail,Business,manual,
2026-02-08,70.17,Supplies,The Envelope People,Business,purchase,
2026-02-07,5.99,Supplies,amazon,Business,manual,a4 no bend
2026-02-07,11.99,Supplies,amazon,Business,manual,ink
2026-02-07,4.3,Shipping,Royal Mail,Business,manual,
2026-02-06,5.99,Supplies,amazon,Business,manual,a4 no bend
2026-02-06,146.89,Platform shipping,Shopify,Business,manual,Shopify shipping
2026-02-06,2.75,Shipping,Royal Mail,Business,manual,
2026-02-05,6.37,Shipping,Royal Mail,Business,manual,
2026-02-04,41.25,Supplies,the envelope people,Business,manual,196907
2026-02-04,2.75,Shipping,Royal Mail,Business,manual,
2026-02-03,5.5,Shipping,Royal Mail,Business,manual,
2026-02-02,7.77,Supplies,amazon,Carrie,manual,a3 card
2026-02-02,14.99,Supplies,amazon,Carrie,manual,a5 card
2026-02-01,52,Home Office,,Business,manual,Working from home — 2 owners × £6/week × 4 weeks
2026-02-01,12.06,Equipement,,Vicky,manual,canon printer
2026-02-01,4.32,Shipping,Royal Mail,Business,manual,
2026-01-31,7.49,Supplies,amazon,Business,manual,label paper
2026-01-31,49.99,Supplies,amazon,Business,manual,label printer
2026-01-31,40.5,Supplies,the envelope people,Business,manual,196639
2026-01-31,151.47,Platform + shipping,Shopify,Business,manual,shopify shipping
2026-01-30,6.25,Supplies,amazon,Carrie,manual,sq envelopes
2026-01-28,2.75,Shipping,Royal Mail,Business,manual,
2026-01-28,3.55,Shipping,Royal Mail,Business,manual,
2026-01-27,36.68,Supplies,the envelope people,Business,manual,supplies
2026-01-26,2.75,Shipping,Royal Mail,Business,manual,
